item_basic_name,item_basic_brand,item_basic_price,item_basic_rating_star,item_basic_display_sold_count_text
MAC Helmut Newton Retro Matte Liquid Lipcolour ลิปจิ้มจุ่ม เนื้อแมทช์ ของแท้ พร้อมส่ง,M.A.C(แมค),75000000,5,2
MAC Lipstick​ สี 520 See Sheer เนื้อ Lustreglass กรอสที่ให้สีสวยแน่น ช่วยบำรุงปาก,M.A.C(แมค),105000000,5,9
ใหม่! MAC Locked Kiss Ink ลิควิดลิปติดทนนาน 24 ชั่วโมง กันน้ำ ขนาด 4ml ป้ายคิง ลิปไม่ติดเมส,Mac(แมค),92000000,5,17
MAC ลิปสติก POWDER KISS HAZY MATTE LIPSTICK 3.5 กรัม,Mac(แมค),92000000,5,89
รุ่นใหม่ 💄✨ MAC Powder Kiss Hazy Matte Lipstick 3.5g ลิปสติกเนื้อแมตต์บางเบา เบลอริมฝีปาก,,110000000,5,16
MAC Lipstick 3g ลิปสติแมค Lipstick#707 Ruby Woo ลิปสติกยอดฮิต เนื้อแมตต์หรู กันน้ำได้,,26900000,5,15
MAC Retro Matte Lipstick Shade 707 Ruby Woo 3g（Full Size）ลิปสติกแมค #707,,26900000,5,3
MAC Ximal Sleek Satin Lipstick 3.5g ฉลากไทยค่ะ,Mac(แมค),99000000,5,10
ป้ายคิง/ไทย2025💖SleekSatin💖MAC Macximal Sleek Satin Lipstick 3.5g.สี Setting Pretty เนื้อซาติน สีสดชัด พิกเมนต์แน่น,Mac(แมค),75900000,5,19
{เก็บโค้ดหน้าร้าน} [พร้อมส่ง] MAC Cosmetics Locked Kiss Ink / 24HR Lipstick,Mac(แมค),109900000,4.931034482758621,107
🍬Newly M.A.C ฉลากไทย/พร้อมส่ง All Shades available ลิปสติก Locked kiss ink 24hours,Mac(แมค),140000000,4.900826446280992,320
",MAC Lipstick ลิปแมค (ของแท้) please me ,kindasexy , mocha",,73700000,1,6
ป้ายคิง/ป้ายไทย2025⚡️M.A.C Macimal Matte Lipstick สี Kinda Sexy  ลิปสติกเนื้อแมทสีนู้ด ส้มอมชมพู สีที่ใช้ได้บ่อย,Mac(แมค),75900000,5,17
MAC LOCKED KISS INK 24HR Lipcolour 4ml ลิควิดลิปสติก,Mac(แมค),129000000,5,70
MAC Powder Kiss Velvet Blur ลิปMacเนื้อใหม่ เกลี่ยง่ายเนื้อฟุ้งนัวๆ,Mac(แมค),89900000,5,49
MAC Lipstick Macximal รุ่นใหม่ matte lipstick ขนาด 3.5g (ป้ายไทย),Mac(แมค),89000000,5,40
❤️Mac Macximal Matte Lipstick❤️,Mac(แมค),89000000,5,2
[Full Size] MAC Powderkiss Lipstick | 3g | แมค | ลิปสติก | M.A.C,M.A.C(แมค),59500000,5,11
MAC Locked Kiss Ink 4ml สินค้าจากคิงเพาเวอร์,Mac(แมค),109000000,5,30
